GR_2,PHS_1,SH_1,FLA_1,FLA_2,FLF_2,GLA3_1,GLA4_1,GLA6_1,GLA7_1,GLA9_1,GLA10_1,GLA1_2,GLA2_2,GLA3_2,GLA5_2,GLA6_2,GLA7_2,GLA8_2,GLA9_2,GLA10_2,FLS_2,GS39_1,GS55_1,GS65_1,GS39_2,GS55_2,GS65_2,JGH_1,JGH_2,JGH_N,GY_1,GY_2,LOD_1,HET_1,HET_2,HFLB_1,HFLB_2,FLED_1,FLED_2,EL_1,EL_2,ETA_1,FLL_1,FLL_2,FLW_1,FLW_2,BIS_1,TS_1,EW_1,GA_1,GA_2,GL_1,GL_2,GW_1,GW_2,TGW_1,TGW_2,SW_1,GPC_1,GPC_2,LGLAU_1,GLAU_1,GLAU_2,AWN_1,PIG_1,PIG_2,SPIG_2,YR_1,YR_2,YR_N
1.262277893,0.0,0,4.113068942,5.056,0.5572665288699041,1.367806772,4.128022472,11.53785209,32.43259521,29.43624796,32.40317796,1.72,8.7,5.88,19.22,20.62,21.66,35.07,40.01,49.78,4.792,210.1843218,220.8851036,225.6473334,215.9,226.0,232.4,2.819917871,3.042,5.0,6.211518186,5.894,1.583389325,72.15064176999998,75.56,48.75641238,51.39,12.89984072,16.87,10.19677793,11.235,7.0,111.6397154,189.9,15.02019157,15.46,0.666321269,22.64320355,2.989134077,16.99391054,15.01,6.281890265,5.961,3.619856408,3.367,42.52752757,41.01,91.82462755,12.8020463,9.889354254,6.909620404,6.857515907,7.434,0,-0.158630294,0.0,0.0,2.006e-13,2.861,0.4771212547196624
,0.0,0,4.838629101,5.07,0.6975780336511131,0.757868184,3.058213648,5.44669963,24.0204135,31.87882132,33.30396007,0.9,10.98,4.41,15.11,18.85,22.94,37.41,38.98,47.86,4.383,214.2568754,223.2407243,227.4171091,215.0,228.1,232.7,4.738742548,4.458,4.0,6.43144649,5.704,1.210889842,65.83755222,73.59,48.77452278,53.52,7.672099229,13.6,9.825061394,10.297,5.0,130.9920095,183.2,15.76752658,14.4,0.590729042,19.04009334,2.846702399,17.96105999,16.22,6.653342121,6.302,3.589389499,3.332,42.8040584,43.04,96.75738635,13.48289117,9.741409353,4.89736012,4.300399517,5.373,0,0.862300937,0.0,0.5,1.6666666666667662,3.155,0.6020599913279624
,3.0,1,4.624959936,5.121,0.6049816296074316,1.504360649,3.532269385,7.456190521,26.90194454,33.85938471,33.93481397,1.82,14.38,11.37,23.25,19.08,25.36,40.28,41.45,52.32,6.341,214.447799,222.6115363,228.9580651,214.9,227.9,233.8,3.368263573,4.641,4.0,6.272871352,6.869,0.174768769,64.02435066,64.85,45.33256502,46.92,9.751266694,12.62,8.951911593,8.435,5.0,129.7574532,190.6,15.91375327,16.84,0.696056774,19.61836939,2.800059428,17.49504345,16.49,6.516226542,6.22,3.557532608,3.46,42.57361527,43.14,93.86485374,13.1825202,9.25782415,6.174187414,3.882261885,5.15,0,0.178370817,0.0,0.0,2.022e-13,1.049,0.0
0.894785374,2.0,0,4.314504606,4.702,0.5474054596674897,0.929908656,2.678784131,12.55665245,36.13816276,42.91338365,41.22648366,1.59,15.93,9.17,25.84,26.67,30.6,44.67,51.09,61.49,5.269,210.3379907,220.6596846,225.5034693,212.5,227.5,231.2,2.810362903,4.706,7.0,6.324241177,5.671,1.507121214,75.51660844,81.13,51.70252721,56.05,16.8188068,21.42,7.291326431,8.975,6.0,150.9535092,195.8,15.67364292,15.0,0.532547766,19.50917463,3.097713379,19.15341088,16.73,6.829191104,6.39,3.701323884,3.366,51.74570966,48.12,95.8919097,13.3996846,10.84018895,2.738579025,2.412643896,4.25,0,0.04544596,0.0,0.0,1.777777777777874,3.731,0.0
1.226318158,0.0,0,5.527384185,4.604,0.5987905067631151,1.021446166,2.78640039,9.314715355,28.62859265,40.6779761,39.58717033,1.805,10.46,7.7,17.53,24.58,25.2,40.74,43.72,56.89,3.783,209.9486375,218.1171329,223.0531607,210.1,223.5,228.2,2.678329678,3.466,7.0,5.808904722,6.395,1.866234257,71.81904083,74.26,47.20523871,50.18,16.29679865,19.4,8.701587351,9.147,5.0,131.9266654,207.9,15.37228694,15.25,0.422148242,19.76181861,3.058542247,17.86460531,16.52,6.642427734,6.416,3.576929365,3.34,45.38061831,43.82,93.0249073,13.63578059,10.09408835,4.934879835,2.583079419,3.039,0,2.58060482,0.0,0.0,1.1111111111113197,0.32,0.0
,1.0,0,4.447770196,4.08,0.5114822886260014,1.321658807,2.813764406,8.217511833,29.94493371,35.24883921,35.01588111,2.114,11.39,7.65,20.6,23.81,26.9,39.27,41.79,50.51,3.883,212.545567,221.8341815,226.0297012,217.8,226.0,232.5,2.92702744,3.979,8.0,6.497969294,6.832,-0.105872911,64.12063431,67.88,43.57684003,49.0,10.39350234,15.0,10.18618217,9.291,4.0,91.47406432,153.1,13.56113743,14.24,2.259149471,23.04056168,2.669852826,16.84974959,14.53,6.425589354,5.836,3.541080885,3.208,42.11363649,40.33,96.9790802,12.60252296,10.10516168,5.013174735,3.708646322,7.152,1,0.474765968,0.0,1.0,23.33333333333333,6.801,0.8450980400142568
1.593347288,2.0,0,5.728173703,4.426,0.5373152731120097,1.104917493,4.576531862,10.46796251,33.05943587,37.85430973,39.85584682,1.436,14.98,9.85,21.68,26.12,31.42,43.26,44.89,57.09,3.66,209.1791024,218.9581109,223.2287862,211.3,222.9,229.2,3.057671505,3.394,7.0,7.444426018,7.474,1.31561825,57.92350874,58.92,36.55527263,41.42,11.31323557,12.1,9.977594447,8.425,5.0,108.792853,174.7,13.78464847,13.66,1.582866118,18.11944172,2.471239233,19.39242805,16.08,6.676844137,6.128,3.835332144,3.332,51.14159368,41.28,97.22589918,12.85104183,8.555276864,4.49238421,3.546324287,3.255,1,2.152737702,0.0,0.0,1.3333333333334327,4.35,0.6020599913279624
0.647446339,0.0,1,4.785667805,6.155,0.51241754860084,1.396106188,3.658202138,11.01329138,26.7663181,33.67778714,37.63943281,2.153,14.47,10.82,22.41,15.51,17.3,32.34,40.67,50.26,4.064,205.8233611,219.035158,224.5214654,208.9,221.0,227.6,2.051475061,2.407,2.0,6.457718221,7.064,0.090682917,69.96119567,69.95,50.29834479,51.67,10.78997859,13.5,8.515447484,9.067,4.0,112.5613767,183.2,16.09034072,16.52,1.986536273,22.94386961,3.634316007,17.4482276,16.06,6.350029638,6.079,3.691675481,3.475,48.18336666,44.92,101.3558653,14.73899786,9.730556805,4.406408961,3.397894367,3.444,1,2.034237096,0.0,0.0,1.33333333333343,3.621,0.6020599913279624
1.014907523,1.0,0,7.059831206,4.476,0.540454613671412,0.49390719,2.478318771,7.959113224,29.78547675,33.77561317,37.92505775,1.419,11.91,7.69,15.93,20.77,24.21,38.04,41.16,49.05,4.091,212.4801962,222.0380099,226.0407521,214.0,226.1,231.3,2.39183592,3.286,7.0,6.756349084,6.775,-0.014357437,60.44408551,63.45,42.72817007,45.32,8.764686794,12.0,8.961601018,9.388,5.0,122.9917192,206.2,17.311323,17.71,-0.019542817,19.56452172,3.758879512,16.73745213,15.15,6.232600061,6.007,3.490814469,3.23,42.30493394,42.09,97.79507274,13.19301754,9.546287999,4.545948652,3.68368946,5.515,1,5.091382574,0.0,0.0,0.3333333333334315,0.013,0.3010299956639812
1.229112282,1.0,0,3.590741966,2.433,0.4981726606365439,1.100582684,4.762995204,8.180708123,28.24073111,32.76882744,34.38127293,2.123,8.98,7.44,15.31,19.03,23.09,39.05,37.79,50.99,3.744,207.1091654,220.0192308,223.0703942,213.3,224.6,231.0,3.869857374,3.995,7.0,6.282950393,6.334,2.095082554,67.54125589,70.52,45.87437603,49.92,13.15079319,15.7,8.52351874,8.926,4.0,127.0243502,180.4,14.5721184,14.99,0.372589964,19.52478391,3.13187646,17.5045477,15.54,6.337955559,6.016,3.694742394,3.403,45.54581261,43.45,101.8031884,13.47963528,9.924860734,6.434498788,4.884370708,6.878,0,0.047882039,0.0,0.0,1.995888888888889e-13,1.126,0.3010299956639812
1.163261627,3.0,0,5.000319657,5.104,0.4917817755841657,1.012460633,3.428128055,7.772008736,26.41600939,34.8975519,34.60308146,3.382,21.46,14.82,23.54,24.78,28.87,42.71,51.85,58.39,2.513,204.0426451,216.2304743,224.6876862,208.4,221.0,227.9,1.502481791,3.081,5.0,5.875580785,6.153,0.037782626,52.67265929,66.11,36.33929024,46.49,7.223430267,14.97,8.798741879,9.143,7.0,118.9346684,177.5,14.09096924,13.64,1.421211231,18.40885505,2.579049896,17.1114034,16.15,6.190518864,6.118,3.717995302,3.452,46.22537526,47.33,100.996859,14.29665058,11.16517121,5.37518415,4.352507473,4.112,0,2.53452991,1.5,0.0,6.444444444444439,4.433,0.0
0.996658105,4.0,0,6.340727898,6.503,0.6982745766743675,1.144791369,3.202097411,14.75365691,32.89450469,37.15257659,42.11583214,2.574,13.77,9.79,21.02,21.85,26.44,38.84,45.55,56.53,4.343,213.5571686,221.7811463,226.0996839,216.0,227.7,230.8,2.982022209,4.333,6.0,7.135618345,5.964,0.411393401,73.49431353,76.84,50.98667557,54.91,13.40380732,16.55,9.067810962,9.332,6.0,140.6425106,210.3,17.76233943,16.08,1.07592285,22.38126289,3.372482545,18.52703665,15.97,6.357743743,5.957,3.860387555,3.461,48.64392344,46.51,98.86521052,13.28254019,10.95178842,2.936191189,2.353443786,2.749,0,0.872331791,0.0,0.0,1.9915555555555561e-13,-0.258,0.4771212547196624
